icme_plasma_field_start_ut,icme_plasma_field_end_ut
2023-09-18 09:04:00,2023-09-19 17:22:00
2023-09-24 17:38:00,2023-09-26 06:43:00
2023-10-20 07:43:00,2023-10-21 21:39:00
2023-11-04 00:16:00,2023-11-04 22:14:00
2023-11-05 03:40:00,2023-11-06 15:02:00
2023-11-13 13:40:00,2023-11-14 08:28:00
2023-11-20 15:22:00,2023-11-21 12:40:00
2023-12-01 08:24:00,2023-12-03 02:16:00
2023-12-15 12:18:00,2023-12-16 23:08:00
2023-12-16 23:08:00,2023-12-18 00:00:00
2023-12-29 09:56:00,2023-12-29 23:42:00
2024-01-02 03:38:00,2024-01-02 17:49:00
2024-02-11 00:59:00,2024-02-12 10:00:00
2024-02-20 09:27:00,2024-02-21 12:05:00
2024-02-25 11:53:00,2024-02-26 08:35:00
2024-03-03 06:00:00,2024-03-04 23:40:00
2024-03-21 04:16:00,2024-03-22 21:40:00
2024-03-24 14:22:00,2024-03-26 06:15:00
2024-04-19 14:08:00,2024-04-20 03:45:00
2024-04-30 13:48:00,2024-05-01 15:14:00
2024-05-02 11:26:00,2024-05-05 00:50:00
2024-05-10 14:03:00,2024-05-12 12:02:00
2024-05-16 11:40:00,2024-05-17 01:06:00
2024-05-25 03:56:00,2024-05-27 10:53:00
2024-06-10 03:05:00,2024-06-12 10:20:00
2024-06-28 15:02:00,2024-06-30 03:40:00
2024-07-02 15:28:00,2024-07-04 05:15:00
2024-07-16 03:50:00,2024-07-16 20:33:00
2024-07-17 00:44:00,2024-07-17 15:17:00
2024-07-23 21:50:00,2024-07-26 03:21:00
2024-07-26 03:46:00,2024-07-27 05:57:00
2024-07-29 19:23:00,2024-07-31 05:44:00
2024-08-03 12:11:00,2024-08-05 01:30:00
2024-08-27 08:30:00,2024-08-29 10:44:00
2024-10-10 12:07:00,2024-10-11 12:00:00
2024-10-27 10:56:00,2024-10-28 20:00:00
2024-11-20 07:56:00,2024-11-21 00:10:00
2024-12-18 06:24:00,2024-12-20 02:54:00
2025-01-07 00:44:00,2025-01-07 13:19:00
2025-01-27 02:40:00,2025-01-28 23:45:00
2025-01-31 03:30:00,2025-01-31 21:06:00
2025-04-16 10:01:00,2025-04-17 15:55:00
2025-05-10 17:13:00,2025-05-12 07:06:00
2025-05-30 09:37:00,2025-05-30 23:55:00
2025-06-21 18:20:00,2025-06-22 14:00:00
